emp_no,first_name,last_name
10001,Georgi,Facello
10006,Anneke,Preusig
10008,Saniya,Kalloufi
10012,Patricio,Bridgland
10014,Berni,Genin
10018,Kazuhide,Peha
10021,Ramzi,Erde
10022,Shahaf,Famili
10023,Bojan,Montemayor
10025,Prasadram,Heyers
10027,Divier,Reistad
10028,Domenick,Tempesti
10031,Karsten,Joslin
10037,Pradeep,Makrucki
10040,Weiyi,Meriste
10043,Yishay,Tzvieli
10048,Florian,Syrotiuk
10056,Brendon,Bernini
10057,Ebbe,Callaway
10062,Anoosh,Peyn
10065,Satosi,Awdeh
10066,Kwee,Schusler
10070,Reuven,Garigliano
10072,Hironoby,Sidou
10074,Mokhtar,Bernatsky
10075,Gao,Dolinsky
10076,Erez,Ritzmann
10078,Danel,Mondadori
10079,Kshitij,Gils
10090,Kendra,Hofting
10091,Amabile,Gomatam
10092,Valdiodio,Niizuma
10103,Akemi,Birch
10116,Dayanand,Czap
10118,Zhonghui,Zyda
10121,Guoxiang,Ramsay
10122,Ohad,Esposito
10127,Subir,Baja
10129,Armond,Peir
10134,Diederik,Siprelle
10139,Ewing,Foong
10142,Tzvetan,Hettesheimer
10143,Sakthirel,Bakhtari
10145,Akemi,Esposito
10150,Zhenbing,Perng
10153,Heekeun,Majewski
10157,Nigel,Aloisi
10166,Samphel,Siegrist
10169,Sampalli,Snedden
10172,Shigeu,Matzen
10179,Deniz,Duclos
10181,Sibyl,Nooteboom
10182,Moriyoshi,Merey
10189,Khalid,Erva
10191,Zdislav,Nastansky
10193,Masaru,Cheshire
10197,Kasidit,Krzyzanowski
10198,Pranav,Furedi
10201,Idoia,Kavraki
10202,Greger,Lichtner
10204,Nevio,Ritcey
10206,Alassane,Iwayama
10207,Girolamo,Anandan
10211,Vishu,Strehl
10212,Divier,Esteva
10219,Genta,Kolvik
10223,Carrsten,Schmiedel
10227,Anneli,Kaiser
10238,Mototsugu,Gire
10244,Foong,Flasterstein
10249,Marie,Boreale
10258,Basil,Ishibashi
10261,Mang,Erie
10264,Nalini,Kawashimo
